initialCase,cited_by,Case
110985,cited by,117916
110985,cited by,117841
110985,cited by,112803
110985,cited by,112768
110985,cited by,112747
110985,cited by,112644
110985,cited by,112625
110985,cited by,112534
110985,cited by,112427
110985,cited by,112305
110985,cited by,112173
110985,cited by,112139
110985,cited by,111759
110985,cited by,111756
110985,cited by,111510
110985,cited by,111362
110985,cited by,111308
110904,cited by,111100
110904,cited by,118395
110904,cited by,118335
110904,cited by,118102
110904,cited by,117935
110904,cited by,117921
110904,cited by,112786
110904,cited by,112675
110904,cited by,112472
110904,cited by,111781
110881,cited by,111104
110881,cited by,118363
110881,cited by,118317
110881,cited by,118323
110881,cited by,117927
110881,cited by,112768
110881,cited by,112632
110881,cited by,111308
110365,cited by,121170
110365,cited by,118428
110365,cited by,112139
110365,cited by,111759
110365,cited by,111510
110034,cited by,118115
110034,cited by,118323
110034,cited by,118317
110034,cited by,118318
110034,cited by,118011
110034,cited by,117935
110034,cited by,112444
110034,cited by,112291
110034,cited by,111308
110034,cited by,110753
109628,cited by,118346
109628,cited by,118111
108763,cited by,118323
108763,cited by,118318
108763,cited by,118317
108763,cited by,118011
108763,cited by,112641
108763,cited by,112423
108763,cited by,112318
108763,cited by,112291
108763,cited by,111949
108763,cited by,111362
108763,cited by,110753
108763,cited by,109499
108763,cited by,108990
108605,cited by,137749
108605,cited by,118033
108605,cited by,112646
108605,cited by,111869
108605,cited by,110496
108605,cited by,109121
108442,cited by,108442
108221,cited by,118363
108221,cited by,118316
108221,cited by,118140
108221,cited by,118011
108221,cited by,112632
108221,cited by,111781
108221,cited by,110904
108221,cited by,110881
108221,cited by,108993
108221,cited by,108605
85272,cited by,109380
84695,cited by,107081
118428,cited by,137749
134724,cited by,136995
136995,cited by,137738
112427,cited by,118146
112427,cited by,112803
112444,cited by,118011
112444,cited by,112534
112455,cited by,112455
112471,cited by,112643
112471,cited by,118425
112471,cited by,118361
112471,cited by,117925
112471,cited by,117916
112471,cited by,117841
112472,cited by,112643
112472,cited by,118102
112472,cited by,118085
112534,cited by,112644
112534,cited by,112625
112644,cited by,118511
112644,cited by,118238
112644,cited by,118113
112644,cited by,117916
112644,cited by,112920
112646,cited by,137749
112646,cited by,118511
112640,cited by,112808
112640,cited by,118015
112640,cited by,117927
112640,cited by,112768
112643,cited by,112786
112643,cited by,112739
112643,cited by,112643
112643,cited by,136995
112643,cited by,134724
112643,cited by,118323
112643,cited by,118011
112643,cited by,117947
112643,cited by,117874
112675,cited by,112786
112675,cited by,118102
112739,cited by,118111
112739,cited by,117914
112747,cited by,112787
112747,cited by,121162
112747,cited by,118238
112747,cited by,118146
112747,cited by,117944
112747,cited by,117947
112768,cited by,117935
112768,cited by,117927
112768,cited by,118363
112768,cited by,118318
